source_city,destination_city,fare_usd,distance_km,driver_gender,ride_type,customer_name
Houston,Chicago,7.88,17.23,Male,shared,Allison Hill
Phoenix,Chicago,82.82,53.64,Male,individual,Noah Rhodes
New York,Phoenix,15.77,14.73,Male,shared,Angie Henderson
Phoenix,Houston,85.65,25.75,Female,individual,Daniel Wagner
New York,San Francisco,85.29,21.07,Male,shared,Cristian Santos
Seattle,Chicago,15.67,6.71,Female,individual,Connie Lawrence
New York,Denver,66.67,58.41,Female,shared,Abigail Shaffer
Miami,Los Angeles,100.38,37.49,Female,shared,Gina Moore
Phoenix,Chicago,10.27,14.45,Female,shared,Gabrielle Davis
Boston,Chicago,48.71,27.75,Female,shared,Ryan Munoz
Seattle,Phoenix,29.09,16.75,Male,shared,Monica Herrera
Miami,Boston,23.79,23.39,Male,individual,Jamie Arnold
New York,Boston,99.51,48.5,Female,individual,Lisa Hensley
Chicago,Boston,110.01,34.46,Female,shared,Michele Williams
Houston,Denver,50.5,54.96,Female,shared,Dylan Miller
Los Angeles,San Francisco,33.36,34.12,Female,individual,Brian Ramirez
Atlanta,Austin,46.63,59.84,Male,individual,Holly Wood
Chicago,New York,104.03,10.02,Male,individual,Derek Zuniga
Atlanta,Chicago,49.25,36.16,Female,individual,Lisa Jackson
Miami,New York,83.23,7.76,Female,individual,Carla Gray
Chicago,Los Angeles,55.0,27.77,Female,shared,Margaret Hawkins DDS
Miami,Chicago,105.11,18.61,Male,shared,Patty Perez
Seattle,San Francisco,67.03,46.94,Male,individual,Ethan Adams
Denver,New York,17.86,22.42,Female,shared,Tommy Walter
New York,Boston,105.97,56.87,Male,individual,Matthew Foster
Chicago,Miami,93.07,8.58,Female,shared,Judy Baker
Los Angeles,Miami,105.33,25.97,Male,shared,Justin Baker
Phoenix,Los Angeles,50.88,40.63,Female,individual,Stephanie Ross
Miami,Denver,18.92,14.26,Female,shared,Zachary Hicks
Atlanta,Miami,31.46,13.99,Male,shared,Anthony Rodriguez
Boston,Chicago,109.12,51.72,Male,shared,Rebecca Henderson
Los Angeles,Houston,60.82,32.81,Female,shared,James Ferrell
Denver,Austin,26.9,6.72,Female,individual,Tricia Valencia
Austin,Phoenix,58.71,44.02,Male,shared,Nathan Maldonado
Austin,Seattle,97.07,7.45,Male,shared,Debra Davidson
Miami,Denver,21.12,11.83,Female,shared,Jeffrey Chavez
Chicago,Denver,97.92,51.5,Male,shared,Sherri Baker
Houston,Miami,101.14,58.17,Male,shared,Cassandra Gaines
Austin,Denver,60.36,52.01,Male,shared,Elizabeth Fowler
Austin,New York,118.31,16.65,Female,individual,Brittany Farmer
Austin,Miami,81.12,29.71,Male,individual,Paula Moreno
Boston,New York,71.61,32.99,Female,shared,Fred Smith
New York,Atlanta,59.83,55.24,Male,shared,Sherry Decker
Miami,Chicago,102.9,5.04,Male,shared,Anthony Humphrey
Austin,Chicago,113.28,34.61,Male,shared,Angelica Tucker
Austin,Houston,72.12,31.84,Female,shared,Philip Cannon
Houston,Seattle,32.45,24.35,Female,individual,John Pierce
Seattle,Chicago,6.07,37.65,Male,shared,Shane Henderson
Miami,Boston,63.18,8.81,Female,shared,Joshua Blair
Boston,Seattle,37.77,26.85,Female,shared,Eric Carney
Houston,Miami,39.43,40.14,Male,individual,Jessica Holmes
Chicago,Phoenix,90.38,10.17,Female,shared,Danny Morgan
Phoenix,Seattle,28.41,38.42,Female,individual,Crystal Robinson
Los Angeles,New York,15.61,25.99,Female,shared,Mark Perez
New York,Seattle,93.68,38.59,Female,shared,Shannon Jones
Phoenix,Denver,68.44,26.23,Male,shared,Michael Lewis
Chicago,San Francisco,67.74,50.24,Male,individual,Timothy Duncan
San Francisco,New York,40.45,54.04,Male,individual,Richard Aguirre
Boston,Houston,33.7,7.06,Female,shared,Brent Jordan
Boston,San Francisco,117.26,48.84,Female,shared,John Daniel
San Francisco,Seattle,94.97,25.29,Male,individual,Victoria Garcia
San Francisco,Chicago,48.99,3.28,Female,shared,Gerald Hensley
Boston,Denver,45.21,49.41,Male,shared,Connor West
New York,Houston,27.21,20.37,Male,individual,Donald Wright
Seattle,Houston,63.58,41.09,Female,shared,Jessica Callahan
Chicago,Los Angeles,25.54,57.79,Female,shared,Amber Kidd
Chicago,Atlanta,54.97,43.98,Female,individual,Tracy House
Atlanta,Miami,18.3,54.07,Male,individual,Carol Tucker
New York,Austin,5.19,55.61,Male,individual,James Brown
Austin,Chicago,114.12,55.33,Female,shared,William Baker
Phoenix,Los Angeles,63.32,40.35,Female,individual,Jordan Henderson
Phoenix,Los Angeles,68.76,12.32,Female,shared,Whitney Peters
Atlanta,Phoenix,39.61,33.33,Male,individual,Brittney Phillips
Los Angeles,Boston,54.44,35.22,Female,individual,Lauren Daniels
Denver,Phoenix,82.7,31.16,Male,shared,Amy Silva
Los Angeles,Miami,81.34,37.54,Male,shared,Sarah Moore
Houston,Los Angeles,30.83,12.75,Male,shared,Angela Lopez
Boston,Denver,75.3,46.34,Female,individual,Megan Young
Houston,Atlanta,27.36,42.08,Female,individual,Steve Sanchez
Boston,San Francisco,80.45,1.33,Male,individual,Lisa Barnes
Boston,San Francisco,97.47,42.06,Female,shared,Kelly Donovan
Miami,Boston,110.51,8.16,Male,individual,Mike Allen
Houston,Miami,118.61,36.13,Female,individual,Michael Evans
Miami,Denver,108.18,44.88,Female,individual,Paul Jones
Los Angeles,Boston,101.58,17.36,Female,shared,Zachary Ferrell
Los Angeles,Denver,13.91,17.86,Female,individual,Daniel Baker
Seattle,Miami,14.27,9.9,Female,shared,Shirley Suarez
Phoenix,Boston,12.39,25.05,Female,individual,Christopher Bass
New York,Boston,100.78,23.98,Male,individual,Lisa Archer
Denver,New York,113.42,18.62,Female,individual,Aimee Montoya
Miami,Phoenix,96.98,53.97,Female,shared,Matthew Mcmillan
Los Angeles,Austin,60.85,23.94,Female,shared,Brian Rodriguez
Denver,San Francisco,117.78,32.51,Female,shared,Denise Jacobs
Chicago,Houston,54.29,52.14,Male,shared,Christina Walters
Los Angeles,Austin,42.65,27.83,Female,individual,John Whitehead
Los Angeles,Austin,34.01,5.83,Male,shared,Anna Henderson
Seattle,Boston,79.77,47.09,Male,shared,Aaron Wise
Boston,Phoenix,101.51,37.66,Male,shared,Deborah Figueroa
Denver,Houston,18.15,56.92,Female,individual,Jessica Smith
Seattle,San Francisco,74.68,57.86,Male,shared,Stephen Mckee
Los Angeles,Chicago,71.55,55.8,Female,individual,Sandra Aguilar
Phoenix,Boston,13.74,41.75,Male,shared,Cameron Parker
Phoenix,Los Angeles,102.78,36.42,Male,shared,Rebecca Valencia
Seattle,Miami,54.26,22.86,Female,shared,Christine Wright
Austin,Denver,17.14,57.69,Female,shared,Richard Henson
Austin,San Francisco,89.39,57.96,Female,individual,Marc Moore
Denver,Austin,99.96,35.96,Female,shared,Sharon Cherry
Chicago,Los Angeles,106.39,15.39,Female,individual,Sierra Johnson
Seattle,New York,61.85,20.18,Female,shared,Evelyn Galvan
Seattle,Los Angeles,44.14,52.94,Female,shared,Sharon Cochran
Miami,Boston,14.85,43.48,Female,shared,Richard Rodriguez
Phoenix,Denver,79.28,29.96,Male,shared,Shannon Walker
Los Angeles,Boston,51.51,15.36,Female,individual,Julia Torres
Miami,Phoenix,44.53,59.8,Female,individual,Crystal Johnson
Phoenix,Denver,36.16,15.83,Male,shared,Garrett Lin
Seattle,Chicago,90.43,57.1,Male,shared,Diana May
Boston,Denver,36.8,35.79,Female,shared,William Herrera
Boston,Los Angeles,31.16,11.59,Male,shared,Ashley Waller
Los Angeles,New York,117.04,33.65,Male,individual,Victor Baker
Chicago,New York,71.02,28.69,Female,individual,Jeffrey Chandler
San Francisco,New York,34.04,51.84,Male,shared,Larry Dixon
Austin,Denver,13.52,38.14,Male,shared,Kenneth Scott
San Francisco,Atlanta,114.15,6.03,Male,shared,April Frost
Miami,Austin,74.73,47.65,Male,individual,Michelle Harmon
Denver,Phoenix,39.2,35.72,Female,individual,Helen Jones
Atlanta,Phoenix,11.93,57.65,Male,shared,Erin Edwards
Houston,Boston,35.43,5.79,Male,shared,Michelle Evans
Miami,Chicago,23.0,25.1,Female,individual,Jason Powell
New York,Boston,38.13,17.68,Female,shared,Cameron Fisher
Houston,Boston,111.25,47.48,Male,individual,Megan Orr
Chicago,Miami,30.85,9.79,Female,shared,Elizabeth Kelley
Chicago,New York,24.08,19.15,Female,individual,Dustin Jordan
Chicago,Denver,84.2,42.28,Female,individual,Mary Marshall
Denver,Chicago,73.77,53.48,Female,individual,Daniel Kennedy
New York,Chicago,31.33,40.78,Male,individual,Rebecca Jackson
Atlanta,New York,92.76,11.34,Female,individual,Jose Schultz
San Francisco,Atlanta,55.13,49.04,Male,individual,Robert Potter
Seattle,Austin,43.33,40.54,Male,individual,Courtney Gonzalez
Austin,Denver,38.15,56.77,Male,individual,David Alvarez
Chicago,Seattle,34.03,7.84,Female,shared,Angel Perry
Houston,Miami,58.13,4.2,Female,individual,Cheyenne Horton
Houston,Denver,92.4,13.01,Male,individual,David Douglas Jr.
Denver,Phoenix,18.96,58.42,Male,shared,Patricia Rodriguez
Los Angeles,Miami,6.57,25.07,Male,shared,Christopher Rubio
Denver,Chicago,79.49,10.08,Female,individual,Amber Wright
Austin,Denver,117.73,15.38,Male,individual,Joyce Solis
Boston,Atlanta,63.45,52.88,Male,individual,Victoria Larson
Austin,Seattle,112.44,30.96,Male,individual,Stephanie Salazar
Phoenix,Los Angeles,101.31,35.22,Female,shared,Kathy Rivas
Denver,Miami,60.7,20.61,Female,individual,Stephanie Manning
Seattle,Boston,117.79,15.09,Female,shared,David Wright
Austin,New York,41.59,28.91,Female,individual,Pamela Boyd
